Position,Identifier,Structure,filter_collect,characterization_1st,characterization_2nd
RACKL:1,,,,,
RACKL:2,,,,,
RACKL:3,,,,,
RACKL:4,,,,,
RACKL:5,,,,,
RACKL:6,,,,,
RACKL:7,,,,,
RACKL:8,,,,,
RACKL:9,,,,,
RACKL:10,,,,,
RACKL:11,,,,,
RACKL:12,,,,,
RACKL:13,,,,,
RACKL:14,,,,,
RACKL:15,,,,,
RACKL:16,,,,,
RACKL:17,,,,,
RACKL:18,,,,,
RACKL:19,,,,,
RACKL:20,,,,,
RACKL:21,,,,,
RACKL:22,,,,,
RACKL:23,,,,,
RACKL:24,,,,,
RACKL:25,,,,,
RACKL:26,,,,,
RACKL:27,,,,,
RACKL:28,,,,,
RACKL:29,,,,,
RACKL:30,,,,,
RACKL:31,,,,,
RACKL:32,,,,,
RACKL:33,,,,,
RACKL:34,,,,,
RACKL:35,,,,,
RACKL:36,,,,,
RACKL:37,,,,,
RACKL:38,,,,,
RACKL:39,,,,,
RACKL:40,,,,,
RACKL:41,,,,,
RACKL:42,,,,,
RACKL:43,,,,,
RACKL:44,,,,,
RACKL:45,,,,,
RACKL:46,A002B067C107_v2,Nc1c(-c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)no2)cccc1-c1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)no1,TRUE,TRUE,TRUE
RACKL:47,A034B040C108_v2,N#Cc1c(-c2cccnc2-c2ccc3c4ccccc4n(-c4ccc(-c5ccccc5)cc4)c3c2)cccc1-c1cccnc1-c1ccc2c3ccccc3n(-c3ccc(-c4ccccc4)cc3)c2c1,TRUE,TRUE,TRUE
RACKL:48,A023B035C108_v2,COc1ccc(-c2ccc(N3c4ccccc4Sc4ccc(OC)cc43)cc2)c(-c2cccc(-c3cc(OC)ccc3-c3ccc(N4c5ccccc5Sc5ccc(OC)cc54)cc3)c2C#N)c1,TRUE,TRUE,TRUE
RACKL:49,A021B044C108_v2,N#Cc1c(-c2ccc(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)nc2)cccc1-c1ccc(-c2ccc(N3c4ccccc4Sc4ccccc43)cc2)nc1,TRUE,TRUE,TRUE
RACKL:50,A021B035C108_v2,COc1ccc(-c2ccc(N3c4ccccc4Sc4ccccc43)cc2)c(-c2cccc(-c3cc(OC)ccc3-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)c2C#N)c1,TRUE,TRUE,TRUE
RACKL:51,A035B036C111_v2,COc1ccc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccccc2)cc1-c1cc(C(=O)O)c(N)c(-c2cc(-c3ccc4c(c3)c3cc(-c5ccccc5)ccc3n4-c3ccccc3)ccc2OC)c1F,TRUE,TRUE,TRUE
RACKL:52,A014B041C114_v2,CN(C)c1ccc(-c2cc(-c3cn(C(C)(C)C)nc3-c3ccnc(-c4ccc(N(C)C)cc4)c3)ccn2)cc1,TRUE,TRUE,TRUE
RACKL:53,A038B067C114_v2,CC(C)(C)n1cc(-c2cc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)no2)c(-c2cc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)no2)n1,TRUE,TRUE,TRUE
RACKL:54,A020B056C114_v2,CC(C)(C)n1cc(-c2ccc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)s2)c(-c2ccc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)s2)n1,TRUE,TRUE,TRUE
RACKL:55,A036B039C114_v2,CC(C)(C)n1cc(-c2cccc(-c3cccc(N(c4ccccc4)c4ccccc4)c3)c2)c(-c2cccc(-c3cccc(N(c4ccccc4)c4ccccc4)c3)c2)n1,TRUE,TRUE,TRUE
RACKL:56,A018B035C115_v2,COc1ccc(-c2ccc(N(c3ccc(C)cc3)c3ccc(C)cc3)cc2)c(-c2cocc2-c2cc(OC)ccc2-c2ccc(N(c3ccc(C)cc3)c3ccc(C)cc3)cc2)c1,TRUE,TRUE,TRUE
RACKL:57,A021B031C116_v2,Cc1cc(-c2csc(C(=O)O)c2-c2cc(C)c(-c3ccc(N4c5ccccc5Sc5ccccc54)cc3)cc2C)c(C)cc1-c1ccc(N2c3ccccc3Sc3ccccc32)cc1,TRUE,TRUE,TRUE
RACKL:58,,,,,
RACKL:59,,,,,
RACKL:60,,,,,
RACKL:61,,,,,
RACKL:62,,,,,
RACKL:63,,,,,
RACKL:64,,,,,
RACKL:65,A018B046C002_v2,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3cc(F)cc(-c4ccc(-c5cc(F)cc(-c6ccc(N(c7ccc(C)cc7)c7ccc(C)cc7)cc6)c5)cc4)c3)cc2)cc1,TRUE,TRUE,TRUE
RACKL:66,A022B032C002_v2,Cc1c(-c2ccc(-c3cccc(-c4ccc(N5c6ccccc6Sc6ccc(C(F)(F)F)cc65)cc4)c3C)cc2)cccc1-c1ccc(N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)cc1,TRUE,TRUE,TRUE
RACKL:67,A029B059C002_v2,COc1ccc2c3ccccc3n(-c3ccc(-c4ccc5oc(-c6ccc(-c7cc8cc(-c9ccc(-n%10c%11ccccc%11c%11ccc(OC)cc%11%10)cc9)ccc8o7)cc6)cc5c4)cc3)c2c1,TRUE,TRUE,TRUE
RACKL:68,A015B045C003_v2,Cc1cc(-c2cncc(-c3ccc(N(C)C)c4ccccc34)c2)c(C)cc1-c1cncc(-c2ccc(N(C)C)c3ccccc23)c1,TRUE,TRUE,TRUE
RACKL:69,A026B065C008_v2,COc1ccc2c3ccc(OC)cc3n(-c3ccc(C=Cc4c5ccccc5c(C=Cc5ccc(-n6c7cc(OC)ccc7c7ccc(OC)cc76)cc5)c5ccccc45)cc3)c2c1,TRUE,TRUE,TRUE
RACKL:70,A021B060C009_v2,c1ccc2c(c1)Sc1ccccc1N2c1ccc(-c2ccccc2-c2ccccc2-c2c3ccccc3c(-c3c4ccccc4c(-c4ccccc4-c4ccccc4-c4ccc(N5c6ccccc6Sc6ccccc65)cc4)c4ccccc34)c3ccccc23)cc1,TRUE,TRUE,TRUE
RACKL:71,A008B043C124_v2,Cc1cc(-c2cc(CO)cc(-c3cc(C)cc(-c4ccc5c(c4)c4ccccc4n5-c4ccccc4)c3)c2)cc(-c2ccc3c(c2)c2ccccc2n3-c2ccccc2)c1,TRUE,TRUE,TRUE
RACKL:72,A039B056C115_v2,CCn1c2ccccc2c2cc(-c3ccc(-c4cocc4-c4ccc(-c5ccc6c(c5)c5ccccc5n6CC)s4)s3)ccc21,TRUE,TRUE,TRUE
RACKL:73,A041B039C112_v2,Cc1nc(N)c(-c2cccc(-c3ccc4ncn(C)c4c3)c2)nc1-c1cccc(-c2ccc3ncn(C)c3c2)c1,TRUE,TRUE,TRUE
