Sample_No,Cycle_No,Flush_Time,NA
1,10,0,0
Rxn_Temp_1,Rxn_Time_1,Rxn_Temp_2,Rxn_Time_2
60,0.01,90,12
Liquid_No,Sample_No,Amount,Flush
-1,11,1.5,1
-1,12,0,0
-1,13,0,0
-1,14,0,0
-1,15,0,0
-1,16,0,0
-1,17,0,0
-1,18,0,0
-1,21,0,0
-1,22,0,0
-1,23,0,0
-1,24,0,0
-1,25,0,0
-1,26,0,0
-1,27,0,0
-1,28,0,0
31,11,1.2,1
31,12,0,0
31,13,0,0
31,14,0,0
31,15,0,0
31,16,0,0
31,17,0,0
31,18,0,0
31,21,0,0
31,22,0,0
31,23,0,0
31,24,0,0
31,25,0,0
31,26,0,0
31,27,0,0
31,28,0,0
42,11,0,0
42,12,0,0
42,13,0,0
42,14,0,0
42,15,0,0
42,16,0,0
42,17,0,0
42,18,0,0
42,21,0,0
42,22,0,0
42,23,0,0
42,24,0,0
42,25,0,0
42,26,0,0
42,27,0,0
42,28,0,0
44,11,0.5,1
44,12,0,0
44,13,0,0
44,14,0,0
44,15,0,0
44,16,0,0
44,17,0,0
44,18,0,0
44,21,0,0
44,22,0,0
44,23,0,0
44,24,0,0
44,25,0,0
44,26,0,0
44,27,0,0
44,28,0,0
43,11,0.25,1
43,12,0,0
43,13,0,0
43,14,0,0
43,15,0,0
43,16,0,0
43,17,0,0
43,18,0,0
43,21,0,0
43,22,0,0
43,23,0,0
43,24,0,0
43,25,0,0
43,26,0,0
43,27,0,0
43,28,0,0
