Sample_No,Cycle_No,Flush_Time,NA
16,10,0,0
Rxn_Temp_1,Rxn_Time_1,Rxn_Temp_2,Rxn_Time_2
60,1,90,12
Liquid_No,Sample_No,Amount,Flush
-1,11,0,0
-1,12,0,0
-1,13,0,0
-1,14,0,0
-1,15,0,0
-1,16,0,0
-1,17,0,0
-1,18,0,0
-1,21,0,0
-1,22,0,0
-1,23,0,0
-1,24,0,0
-1,25,0,0
-1,26,0,0
-1,27,0,0
-1,28,0,0
31,11,0,0
31,12,0,0
31,13,0,0
32,14,0,0
33,15,0,0
33,16,0,0
33,17,0,0
33,18,0,0
34,21,1.2,1
35,22,1.2,1
36,23,1.2,1
36,24,1.2,1
37,25,1.2,1
3,26,1.2,1
38,27,1.2,1
38,28,1.2,1
42,11,0.5,1
42,12,0.5,1
42,13,0.5,1
42,14,0.5,1
42,15,0.5,1
42,16,0.5,1
42,17,0.5,1
42,18,0.5,1
42,21,0.5,1
42,22,0.5,1
42,23,0.5,1
42,24,0.5,1
42,25,0.5,1
42,26,0.5,1
42,27,0.5,1
42,28,0.5,1
44,11,0.5,1
44,12,0.5,1
44,13,0.5,1
44,14,0.5,1
44,15,0.5,1
44,16,0.5,1
44,17,0.5,1
44,18,0.5,1
44,21,0.5,1
44,22,0.5,1
44,23,0.5,1
44,24,0.5,1
44,25,0.5,1
44,26,0.5,1
44,27,0.5,1
44,28,0.5,1
43,11,0.25,1
43,12,0.25,1
43,13,0.25,1
43,14,0.25,1
43,15,0.25,1
43,16,0.25,1
43,17,0.25,1
43,18,0.25,1
43,21,0.25,1
43,22,0.25,1
43,23,0.25,1
43,24,0.25,1
43,25,0.25,1
43,26,0.25,1
43,27,0.25,1
43,28,0.25,1
