"Wavelength, µm",n,k,https://refractiveindex.info/?shelf=organic&book=ethanol&page=Kozma
0.23,1.424853589,,Average(370-640)
0.2341,1.421594945,,1.365713943
0.2382,1.418588858,,
0.2423,1.415807272,,
0.2464,1.413225967,,
0.2505,1.410823963,,
0.2546,1.408583022,,
0.2587,1.40648724,,
0.2629,1.404476315,,
0.267,1.402633556,,
0.2711,1.400898813,,
0.2752,1.399262608,,
0.2793,1.397716543,,
0.2834,1.396253155,,
0.2875,1.394865793,,
0.2916,1.393548509,,
0.2957,1.392295974,,
0.2998,1.391103398,,
0.3039,1.389966465,,
0.308,1.388881277,,
0.3121,1.387844302,,
0.3162,1.386852334,,
0.3204,1.385879791,,
0.3245,1.384970274,,
0.3286,1.384097698,,
0.3327,1.383259842,,
0.3368,1.382454663,,
0.3409,1.381680286,,
0.345,1.380934981,,
0.3491,1.380217152,,
0.3532,1.37952532,,
0.3573,1.378858117,,
0.3614,1.378214273,,
0.3655,1.377592607,,
0.3696,1.376992019,,
0.3737,1.376411484,,
0.3779,1.375836581,,
0.382,1.375293774,,
0.3861,1.374768307,,
0.3902,1.374259396,,
0.3943,1.373766304,,
0.3984,1.373288337,,
0.4025,1.372824844,,
0.4066,1.37237521,,
0.4107,1.371938856,,
0.4148,1.371515234,,
0.4189,1.371103828,,
0.423,1.370704149,,
0.4271,1.370315733,,
0.4312,1.369938142,,
0.4354,1.369562131,,
0.4395,1.369205202,,
0.4436,1.368857902,,
0.4477,1.368519876,,
0.4518,1.368190783,,
0.4559,1.367870302,,
0.46,1.367558125,,
0.4641,1.367253958,,
0.4682,1.366957522,,
0.4723,1.36666855,,
0.4764,1.366386786,,
0.4805,1.366111988,,
0.4846,1.365843922,,
0.4887,1.365582364,,
0.4928,1.365327102,,
0.497,1.365071928,,
0.5011,1.364828793,,
0.5052,1.364591361,,
0.5093,1.364359452,,
0.5134,1.364132892,,
0.5175,1.363911518,,
0.5216,1.363695168,,
0.5257,1.36348369,,
0.5298,1.363276937,,
0.5339,1.363074768,,
0.538,1.362877047,,
0.5421,1.362683643,,
0.5462,1.362494429,,
0.5503,1.362309285,,
0.5545,1.362123722,,
0.5586,1.361946463,,
0.5627,1.361772932,,
0.5668,1.361603026,,
0.5709,1.361436643,,
0.575,1.361273686,,
0.5791,1.361114061,,
0.5832,1.360957677,,
0.5873,1.360804448,,
0.5914,1.360654287,,
0.5955,1.360507114,,
0.5996,1.360362849,,
0.6037,1.360221416,,
0.6078,1.360082742,,
0.612,1.35994347,,
0.6161,1.359810163,,
0.6202,1.359679405,,
0.6243,1.359551131,,
0.6284,1.359425279,,
0.6325,1.359301788,,
0.6366,1.359180599,,
0.6407,1.359061656,,
