"Wavelength, µm",n,k,https://refractiveindex.info/?shelf=organic&book=toluene&page=Kozma
0.3001,1.583055518,,Average(370-640)
0.3035,1.579197728,,1.506249751
0.3069,1.575553336,,
0.3103,1.572107379,,
0.3137,1.568846135,,
0.3171,1.56575701,,
0.3205,1.562828428,,
0.3239,1.560049743,,
0.3273,1.557411148,,
0.3308,1.554831744,,
0.3342,1.552450386,,
0.3376,1.550183802,,
0.341,1.548024878,,
0.3444,1.545967026,,
0.3478,1.544004143,,
0.3512,1.542130569,,
0.3546,1.540341048,,
0.358,1.538630695,,
0.3614,1.536994968,,
0.3648,1.53542964,,
0.3682,1.53393077,,
0.3716,1.532494685,,
0.375,1.531117958,,
0.3784,1.529797386,,
0.3818,1.528529978,,
0.3853,1.527277872,,
0.3887,1.526109936,,
0.3921,1.524987218,,
0.3955,1.523907421,,
0.3989,1.522868389,,
0.4023,1.521868098,,
0.4057,1.520904646,,
0.4091,1.519976247,,
0.4125,1.519081219,,
0.4159,1.518217977,,
0.4193,1.517385031,,
0.4227,1.516580975,,
0.4261,1.515804482,,
0.4295,1.515054301,,
0.4329,1.514329249,,
0.4363,1.513628211,,
0.4397,1.512950131,,
0.4432,1.512275033,,
0.4466,1.511640527,,
0.45,1.511026114,,
0.4534,1.510430945,,
0.4568,1.509854218,,
0.4602,1.50929517,,
0.4636,1.508753079,,
0.467,1.508227258,,
0.4704,1.507717055,,
0.4738,1.50722185,,
0.4772,1.506741053,,
0.4806,1.506274103,,
0.484,1.505820468,,
0.4874,1.505379637,,
0.4908,1.504951127,,
0.4942,1.504534477,,
0.4976,1.504129245,,
0.5011,1.50372358,,
0.5045,1.503340252,,
0.5079,1.502967128,,
0.5113,1.502603844,,
0.5147,1.502250051,,
0.5181,1.501905416,,
0.5215,1.501569619,,
0.5249,1.501242356,,
0.5283,1.500923334,,
0.5317,1.500612275,,
0.5351,1.500308911,,
0.5385,1.500012985,,
0.5419,1.499724251,,
0.5453,1.499442474,,
0.5487,1.499167428,,
0.5521,1.498898896,,
0.5556,1.49862905,,
0.559,1.498373106,,
0.5624,1.49812307,,
0.5658,1.497878759,,
0.5692,1.497639995,,
0.5726,1.497406608,,
0.576,1.497178435,,
0.5794,1.496955318,,
0.5828,1.496737106,,
0.5862,1.496523653,,
0.5896,1.496314819,,
0.593,1.496110468,,
0.5964,1.495910471,,
0.5998,1.495714702,,
0.6032,1.495523039,,
0.6066,1.495335367,,
0.61,1.495151573,,
0.6135,1.49496631,,
0.6169,1.494790057,,
0.6203,1.494617365,,
0.6237,1.494448137,,
0.6271,1.494282278,,
0.6305,1.494119698,,
0.6339,1.493960309,,
0.6373,1.493804026,,
0.6407,1.493650767,,
